type,engine,experiment,count
MaxExclusiveConstraintComponent,topbraid,ES_core,0
MaxExclusiveConstraintComponent,topbraid,ES_era,0
MaxExclusiveConstraintComponent,topbraid,ES_tds,0
MaxExclusiveConstraintComponent,topbraid,FR_core,0
MaxExclusiveConstraintComponent,topbraid,FR_era,0
MaxExclusiveConstraintComponent,topbraid,FR_tds,0
MaxExclusiveConstraintComponent,dotnet_rdf,ERA_tds,0
MaxExclusiveConstraintComponent,jena,ERA_core,1366
MaxExclusiveConstraintComponent,jena,ERA_era,1366
MaxExclusiveConstraintComponent,jena,ERA_tds,0
MaxExclusiveConstraintComponent,maplib,ERA_core,683
MaxExclusiveConstraintComponent,maplib,ERA_era,683
MaxExclusiveConstraintComponent,maplib,ERA_tds,0
MaxExclusiveConstraintComponent,maplib,FR_era,0
MaxExclusiveConstraintComponent,rdf4j,ERA_core,1366
MaxExclusiveConstraintComponent,rdf4j,ERA_era,0
MaxExclusiveConstraintComponent,rdf4j,ERA_tds,0
MaxExclusiveConstraintComponent,rdfunit,ERA_core,683
MaxExclusiveConstraintComponent,rdfunit,ERA_era,683
MaxExclusiveConstraintComponent,rdfunit,ERA_tds,0
MaxExclusiveConstraintComponent,topbraid,ERA_core,1366
MaxExclusiveConstraintComponent,topbraid,ERA_era,1366
MaxExclusiveConstraintComponent,topbraid,ERA_tds,0
ClassConstraintComponent,corese,ES_core,27
ClassConstraintComponent,corese,ES_era,27
ClassConstraintComponent,corese,ES_tds,0
ClassConstraintComponent,corese,FR_core,0
ClassConstraintComponent,corese,FR_tds,0
ClassConstraintComponent,dotnet_rdf,ES_core,27
ClassConstraintComponent,dotnet_rdf,ES_era,27
ClassConstraintComponent,dotnet_rdf,ES_tds,0
ClassConstraintComponent,dotnet_rdf,FR_core,0
ClassConstraintComponent,dotnet_rdf,FR_tds,0
ClassConstraintComponent,jena,ES_core,27
ClassConstraintComponent,jena,ES_era,27
ClassConstraintComponent,jena,ES_tds,0
ClassConstraintComponent,jena,FR_core,0
ClassConstraintComponent,jena,FR_era,0
ClassConstraintComponent,jena,FR_tds,0
ClassConstraintComponent,maplib,ES_core,23
ClassConstraintComponent,maplib,ES_era,23
ClassConstraintComponent,maplib,ES_tds,0
ClassConstraintComponent,maplib,FR_core,0
ClassConstraintComponent,maplib,FR_tds,0
ClassConstraintComponent,pyshacl,ES_core,27
ClassConstraintComponent,pyshacl,ES_era,27
ClassConstraintComponent,pyshacl,ES_tds,0
ClassConstraintComponent,pyshacl,FR_core,0
ClassConstraintComponent,pyshacl,FR_tds,0
ClassConstraintComponent,rdf4j,ES_core,27
ClassConstraintComponent,rdf4j,ES_era,0
ClassConstraintComponent,rdf4j,ES_tds,0
ClassConstraintComponent,rdf4j,FR_core,0
ClassConstraintComponent,rdf4j,FR_era,0
ClassConstraintComponent,rdf4j,FR_tds,0
ClassConstraintComponent,rdfunit,ES_core,23
ClassConstraintComponent,rdfunit,ES_era,23
ClassConstraintComponent,rdfunit,ES_tds,0
ClassConstraintComponent,rdfunit,FR_core,0
ClassConstraintComponent,rdfunit,FR_era,0
ClassConstraintComponent,rdfunit,FR_tds,0
ClassConstraintComponent,topbraid,ES_core,27
ClassConstraintComponent,topbraid,ES_era,27
ClassConstraintComponent,topbraid,ES_tds,0
ClassConstraintComponent,topbraid,FR_core,0
ClassConstraintComponent,topbraid,FR_era,0
ClassConstraintComponent,topbraid,FR_tds,0
ClassConstraintComponent,dotnet_rdf,ERA_tds,0
ClassConstraintComponent,jena,ERA_core,99
ClassConstraintComponent,jena,ERA_era,99
ClassConstraintComponent,jena,ERA_tds,0
ClassConstraintComponent,maplib,ERA_core,59
ClassConstraintComponent,maplib,ERA_era,59
ClassConstraintComponent,maplib,ERA_tds,0
ClassConstraintComponent,maplib,FR_era,0
ClassConstraintComponent,rdf4j,ERA_core,99
ClassConstraintComponent,rdf4j,ERA_era,0
ClassConstraintComponent,rdf4j,ERA_tds,0
ClassConstraintComponent,rdfunit,ERA_core,59
ClassConstraintComponent,rdfunit,ERA_era,59
ClassConstraintComponent,rdfunit,ERA_tds,0
ClassConstraintComponent,topbraid,ERA_core,99
ClassConstraintComponent,topbraid,ERA_era,99
ClassConstraintComponent,topbraid,ERA_tds,0
OrConstraintComponent,corese,ES_core,4
OrConstraintComponent,corese,ES_era,4
OrConstraintComponent,corese,ES_tds,0
OrConstraintComponent,corese,FR_core,14
OrConstraintComponent,corese,FR_tds,0
OrConstraintComponent,dotnet_rdf,ES_core,4
OrConstraintComponent,dotnet_rdf,ES_era,4
OrConstraintComponent,dotnet_rdf,ES_tds,0
OrConstraintComponent,dotnet_rdf,FR_core,14
OrConstraintComponent,dotnet_rdf,FR_tds,0
OrConstraintComponent,jena,ES_core,4
OrConstraintComponent,jena,ES_era,4
OrConstraintComponent,jena,ES_tds,0
OrConstraintComponent,jena,FR_core,14
OrConstraintComponent,jena,FR_era,14
OrConstraintComponent,jena,FR_tds,0
OrConstraintComponent,maplib,ES_core,4
OrConstraintComponent,maplib,ES_era,4
OrConstraintComponent,maplib,ES_tds,0
OrConstraintComponent,maplib,FR_core,14
OrConstraintComponent,maplib,FR_tds,0
OrConstraintComponent,pyshacl,ES_core,4
OrConstraintComponent,pyshacl,ES_era,4
OrConstraintComponent,pyshacl,ES_tds,0
OrConstraintComponent,pyshacl,FR_core,14
OrConstraintComponent,pyshacl,FR_tds,0
OrConstraintComponent,rdf4j,ES_core,4
OrConstraintComponent,rdf4j,ES_era,0
OrConstraintComponent,rdf4j,ES_tds,0
OrConstraintComponent,rdf4j,FR_core,14
OrConstraintComponent,rdf4j,FR_era,0
OrConstraintComponent,rdf4j,FR_tds,0
OrConstraintComponent,rdfunit,ES_core,0
OrConstraintComponent,rdfunit,ES_era,0
OrConstraintComponent,rdfunit,ES_tds,0
OrConstraintComponent,rdfunit,FR_core,0
OrConstraintComponent,rdfunit,FR_era,0
OrConstraintComponent,rdfunit,FR_tds,0
OrConstraintComponent,topbraid,ES_core,4
OrConstraintComponent,topbraid,ES_era,4
OrConstraintComponent,topbraid,ES_tds,0
OrConstraintComponent,topbraid,FR_core,14
OrConstraintComponent,topbraid,FR_era,14
OrConstraintComponent,topbraid,FR_tds,0
OrConstraintComponent,dotnet_rdf,ERA_tds,0
OrConstraintComponent,jena,ERA_core,1059
OrConstraintComponent,jena,ERA_era,1059
OrConstraintComponent,jena,ERA_tds,0
OrConstraintComponent,maplib,ERA_core,1059
OrConstraintComponent,maplib,ERA_era,1059
OrConstraintComponent,maplib,ERA_tds,0
OrConstraintComponent,maplib,FR_era,14
OrConstraintComponent,rdf4j,ERA_core,1000
OrConstraintComponent,rdf4j,ERA_era,0
OrConstraintComponent,rdf4j,ERA_tds,0
OrConstraintComponent,rdfunit,ERA_core,0
OrConstraintComponent,rdfunit,ERA_era,0
OrConstraintComponent,rdfunit,ERA_tds,0
OrConstraintComponent,topbraid,ERA_core,1059
OrConstraintComponent,topbraid,ERA_era,1059
OrConstraintComponent,topbraid,ERA_tds,0
